V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,LocationLatitude,LocationLongitude,LocationAccuracy,
FS_2uvw1nAkBjHATpD,,Anonymous,,,76.173.123.100,0,2015-08-07 10:49:09,2015-08-07 16:49:09,0,,1.06,1.06,2.335,1,3,0,0,4.358,0,3,0,0,1.623,0,5,0,0,1.495,0,5,0.902,0.902,2.392,1,34,0.771,0.771,1.497,1,1,1.139,1.139,4.733,1,USA,0.911,0.911,3.706,1,USA,1,1.434,22.149,30.62,3,1,4.263,4.263,9.822,1,2,3.889,5.313,7.963,2,2,4.524,4.524,8.396,1,3,17.853,27.79,30.404,2,b,32.662,32.662,51.425,1,3,43.216,301.981,390.003,5,1,,,,,,5.477,17.102,20.771,2,6,9.871,18.741,23.332,2,2,3.429,3.429,38.458,1,6,3.441,58.129,62.868,5,18,41.292,43.275,46.403,4,d,,,,,,,,,,,,,,-1,
FS_eWnPomMeJmEs3tf,,Anonymous,,,104.33.174.96,0,2015-08-11 23:23:05,2015-08-12 05:23:05,0,,1.954,1.954,2.827,1,4,0,0,3.311,0,2,0,0,2.16,0,4,0,0,2.399,0,5,1.046,1.046,3.016,1,30,5.251,5.251,5.92,1,1,0.829,1.165,3.335,2,usa,1.14,1.14,3.465,1,usa,1,5.015,12.131,17.171,3,5,4.889,12.411,12.72,2,6,11.419,11.419,13.035,1,8,7.627,7.627,21.226,1,3,3.438,3.438,41.113,1,c,15.16,15.16,16.002,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_ZJBqzbIEufBvIiZ,,Anonymous,,,75.142.10.9,0,2015-08-12 07:16:09,2015-08-12 13:16:09,0,,2.604,2.604,3.975,1,5,0,0,4.787,0,3,0,0,2.849,0,5,0,0,3.281,0,5,1.555,1.555,4.037,1,39,1.321,1.321,2.686,1,1,1.364,1.364,8.586,1,USA,1.118,1.118,3.757,1,USA,1,3.319,27.264,30.392,2,12,64.784,64.784,68.727,1,15,17.853,17.853,20.299,1,6,9.733,9.733,13.159,1,15,38.618,40.387,43.419,2,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_2770AjMMBCfBMkR,,Anonymous,,,99.109.96.242,0,2015-08-12 07:38:57,2015-08-12 13:38:57,0,,1.315,1.315,4.154,1,6,1.62,1.62,3.307,1,3,3.047,3.047,3.589,1,4,0,0,2.793,0,4,1.135,1.135,3.684,1,45,1.012,1.012,1.899,1,1,1.132,1.132,4.228,1,USA,1.158,1.158,4.361,1,USA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_29akVmgmLOhe7dD,,Anonymous,,,173.175.67.40,0,2015-08-07 11:34:48,2015-08-07 17:34:48,0,,1.524,1.524,3.2,1,5,0,0,13.27,0,2,1.829,2.321,3.598,2,5,1.808,1.808,8.663,1,5,1.061,1.061,2.951,1,27,0.798,0.798,1.819,1,2,0.931,0.931,3.641,1,USA,0.683,0.683,3.127,1,USA,1,56.925,56.925,58.94,1,10,1.24,1.24,37.484,1,15,2.036,2.036,10.894,1,8,1.048,1.048,27.33,1,15,35.437,35.437,38.973,1,A,77.925,77.925,79.365,1,3,,,,,,56.764,56.764,390.018,1,1,2.195,2.195,49.643,1,15,44.552,44.552,54.515,1,3,0.783,71.184,72.92,3,6,29.602,29.602,35.38,1,30,32.714,32.714,35.873,1,A,,,,,,,,,,,,,,-1,
FS_2En0a5LwoKU8chT,,Anonymous,,,54.174.77.195,0,2015-08-07 11:46:21,2015-08-07 17:46:21,0,,4.201,4.201,4.915,1,5,0,0,3.101,0,4,2.537,2.537,4.671,1,5,0,0,4.294,0,5,1.139,1.139,2.54,1,24,0.808,0.808,1.807,1,1,1.047,1.047,42.731,1,USA,0,0,6.318,0,USA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_qyVUFPrfm9evG7v,,Anonymous,,,71.190.247.113,0,2015-08-07 14:47:45,2015-08-07 20:47:45,0,,4.387,4.387,5.437,1,6,0,0,5.757,0,2,0,0,2.224,0,5,0,0,2.605,0,5,0.863,0.863,2.31,1,25,0.736,0.736,1.562,1,2,0.903,0.903,2.703,1,USA,0.981,0.981,2.999,1,USA,1,3.964,3.964,46.612,1,20,0,0,89.977,0,,6.417,6.417,8.385,1,11,6.079,6.079,7.711,1,11,37.859,37.859,40.764,1,a,48.231,48.231,49.08,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_3r1cptT0vhKto70,,Anonymous,,,76.106.253.130,0,2015-08-07 17:54:45,2015-08-07 23:54:45,0,,1.72,1.72,3.54,1,3,0,0,4.211,0,2,2.665,2.665,3.2,1,3,0,0,3.224,0,5,1.29,1.29,2.708,1,26,0.91,0.91,1.806,1,2,0.966,0.966,4.449,1,usa,0.707,0.707,4.514,1,usa,1,3.923,3.923,47.124,1,10,4.233,4.233,71.357,1,10,20.652,24.01,31.456,3,6,2.218,2.218,71.611,1,9,73.142,73.142,74.609,1,,2,53.755,54.708,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_3gMleO0y0VHjOoG,,Anonymous,,,75.111.21.232,0,2015-08-11 23:18:45,2015-08-12 05:18:45,0,,2.307,2.307,3.428,1,5,0,0,6.665,0,3,0,0,4.64,0,5,0,0,3.818,0,5,1.053,1.053,4.785,1,31,1.014,1.014,1.97,1,1,1.037,1.037,4.201,1,us,1.444,1.444,5.127,1,us,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_31EoYSbCamMQDee,,Anonymous,,,70.210.231.61,0,2015-08-07 11:05:56,2015-08-07 17:05:56,0,,2.218,2.218,3.319,1,5,0,0,8.081,0,3,0,0,2.944,0,4,0,0,2.789,0,3,1.092,1.092,2.97,1,33,0.788,0.788,1.799,1,1,0.96,0.96,8.016,1,United States of America,1.178,1.178,9.093,1,United States of America,1,4.654,58.867,61.163,4,9,1.202,12.588,12.949,6,14,1.648,16.968,17.467,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_1i4LKjLRyjENJk2,,Anonymous,,,73.48.158.137,0,2015-08-07 15:43:26,2015-08-07 21:43:26,0,,3.68,4.752,5.864,2,5,0,0,5.793,0,3,0,0,6.366,0,4,0,0,2.513,0,4,2.225,2.745,4.583,2,34,0.973,0.973,1.753,1,2,1.069,1.069,3.733,1,USA,1.813,1.813,3.883,1,USA,1,25.398,32.982,36.493,2,10,34.012,34.012,36.213,1,8,17.091,17.091,20.088,1,5,35.981,35.981,38.579,1,8,3.149,64.877,70.763,3,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_p0Kx2Mbo2JAV8UV,,Anonymous,,,104.33.129.144,0,2015-08-07 11:58:38,2015-08-07 17:58:38,0,,5.356,7.312,8.973,3,3,8.696,8.696,11.322,1,4,2.539,2.539,3.427,1,4,0,0,6.342,0,4,1.148,1.148,3.551,1,31,1.045,1.045,1.803,1,1,1.24,1.24,7.535,1,United States,1.289,1.289,8.369,1,United States,1,1.474,2.835,38.439,3,11,1.973,1.973,42.897,1,7,1.155,1.155,60.715,1,5,3.524,3.524,62.386,1,8,64.387,67.891,69.715,2,c,4.694,86.697,87.725,3,4,,,,,,,,,,,1.426,1.941,66.338,2,15,32.319,32.319,60.474,1,3,1.504,1.928,46.631,2,6,1.095,1.095,96.375,1,13,71.294,71.294,75.904,1,c,,,,,,0,0,1.702,0,1,,,,-1,
FS_1QMkqNKB5ZtkJRa,,Anonymous,,,173.219.163.66,0,2015-08-12 02:39:10,2015-08-12 08:39:10,0,,20.807,20.862,21.795,2,5,25.699,25.699,27.455,1,4,0,0,3.685,0,5,2.145,2.145,3.819,1,5,1.126,1.782,3.63,3,31,18.955,18.955,20.25,1,2,26.038,26.038,30.644,1,United States,1.301,1.301,5.964,1,United States,1,33.671,33.671,62.908,1,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_ylLK46Fc0pFwnip,,Anonymous,,,216.167.129.76,0,2015-08-12 09:25:09,2015-08-12 15:25:09,0,,1.505,1.505,2.369,1,5,0,0,2.55,0,3,4.562,4.562,5.499,1,4,0,0,2.242,0,4,0.961,0.961,2.528,1,26,0.697,1.175,1.605,2,2,0.975,0.975,3.536,1,USA,0.433,0.433,1.49,1,USA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_2tDmNEHT9KbFgQU,,Anonymous,,,66.194.51.226,0,2015-08-12 07:24:41,2015-08-12 13:24:41,0,,10.612,10.612,13.666,1,3,0,0,3.06,0,2,0,0,2.213,0,5,0,0,2.005,0,5,0.861,0.861,2.963,1,43,0.606,0.606,1.591,1,1,1.233,1.233,96.067,1,United States,1.784,1.784,5.169,1,United States,1,2.09,9.85,13.537,4,20,2.005,3.549,7.065,3,60,2.431,2.431,5.322,1,12,2.494,2.494,5.618,1,60,15.003,15.003,17.305,1,d,7.9,8.912,12.469,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_30eINwQrJ98ENnO,,Anonymous,,,98.237.249.73,0,2015-08-07 11:37:03,2015-08-07 17:37:03,0,,4.467,4.467,6.238,1,5,0,0,5.894,0,,0,0,4.642,0,5,0,0,4.663,0,5,1.497,1.497,4.853,1,64,1.416,1.416,2.662,1,1,1.595,1.595,4.919,1,USA,1.449,1.449,4.598,1,USA,1,53.123,53.123,57.055,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_1rqYxkIamACch3f,,Anonymous,,,73.24.137.29,0,2015-08-12 23:14:59,2015-08-13 05:14:59,0,,3.33,3.33,5.587,1,3,0,0,6.327,0,1,0,0,4.534,0,4,0,0,5.747,0,4,1.223,1.223,3.701,1,47,1.235,1.235,2.555,1,2,1.403,1.403,7.974,1,USA,1.316,1.316,4.744,1,USA,1,31.17,31.17,38.826,1,10,18.572,18.572,30.116,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_bw2mcgq6lBbqWsh,,Anonymous,,,163.47.12.200,0,2015-08-07 10:49:31,2015-08-07 16:49:31,0,,2.661,2.661,3.806,1,6,0,0,4.532,0,4,2.543,2.543,9.224,1,4,7.012,7.012,11.022,1,5,1.14,1.14,3.587,1,27,0.857,0.857,1.674,1,1,1.377,1.377,6.234,1,India,1.729,1.729,6.507,1,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_0HDtpNyZFBt3SHD,,Anonymous,,,122.174.93.65,0,2015-08-07 11:45:26,2015-08-07 17:45:26,0,143029860,1.601,1.601,2.63,1,6,0,0,5.642,0,4,0,0,3.957,0,5,2.654,3.084,4.24,2,5,1.24,3.622,3.93,2,46,1.124,1.987,2.283,2,1,1.32,1.668,5.488,2,India,1.147,1.147,5.242,1,India,1,10.623,10.623,17.791,1,2,1.535,1.535,10.265,1,3,1.142,1.142,17.838,1,2,1.181,1.181,7.068,1,3,4.499,4.499,11.606,1,c,20.36,20.36,21.38,1,4,,,,,,,,,,,1.305,13.033,14.944,4,2,1.682,2.392,3.401,3,3,1.395,1.395,7.603,1,2,0.942,0.942,3.581,1,3,2.034,2.034,6.427,1,d,9.723,9.723,10.572,1,3,0,0,1.52,0,1,,,,-1,
FS_1FanVfPFj4Hiw87,,Anonymous,,,116.68.75.53,0,2015-08-07 22:57:25,2015-08-08 04:57:25,0,,3.108,3.108,5.254,1,5,29.514,30.74,37.473,4,4,0,0,2.618,0,5,3.433,3.433,4.856,1,5,1.739,1.739,3.711,1,31,1.405,1.405,2.478,1,2,1.713,1.713,5.848,1,Canada,10.674,29.276,30.59,5,India,1,34.785,34.785,37.221,1,1,22.95,24.392,26.603,2,2,5.811,18.015,20.837,2,1,6.818,9.915,11.735,3,3,22.445,28.173,30.026,3,c,10.293,13.944,14.827,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_233vUgdxoAs7szn,,Anonymous,,,49.249.81.156,0,2015-08-12 00:28:23,2015-08-12 06:28:23,0,,2.897,2.897,4.513,1,4,6.421,7.697,13.26,2,3,0,0,4.251,0,5,0,0,4.477,0,4,1.091,1.091,3.521,1,27,1.108,1.108,2.109,1,1,1.193,1.193,4.284,1,USA,1.2,1.2,4.532,1,USA,1,1.028,35.607,42.868,2,2,0.881,0.881,34.713,1,2,1.085,1.085,20.726,1,1,0.938,0.938,18.987,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_pEOJlrIDKM75qU1,,Anonymous,,,27.97.136.59,0,2015-08-12 01:30:12,2015-08-12 07:30:12,0,,10.065,10.065,11.541,1,4,3.939,3.939,9.018,1,2,12.032,12.561,14.762,2,4,0,0,3.871,0,3,1.13,1.13,3.633,1,29,0.808,0.808,1.528,1,1,1.075,1.075,5.326,1,India,1.533,3.946,4.141,2,India,1,9.128,38.255,58.193,7,1,1.985,55.147,58.192,15,2,3.181,56.364,57.615,6,2,14.138,30.597,65.978,4,1,60.122,60.497,70.869,2,b,15.248,73.256,74.438,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_3NVPYDhtc7WRSIL,,Anonymous,,,122.169.133.194,0,2015-08-07 10:39:12,2015-08-07 16:39:12,0,,4.027,4.57,6.186,2,6,0,0,9.497,0,4,0,0,3.899,0,,0,0,6.796,0,4,1.495,1.495,4.231,1,39,1.175,1.175,1.9,1,1,1.081,1.73,5.018,3,India,1.49,1.77,4.39,2,India,1,19.714,31.268,32.993,2,2,17.505,17.936,21.219,2,2,5.308,13.858,15.628,2,3,0,0,90.612,0,,64.207,64.207,67.806,1,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_2lsHdIUWTWeMkp3,,Anonymous,,,116.68.75.253,0,2015-08-12 00:44:04,2015-08-12 06:44:04,0,,1.865,1.865,2.727,1,5,2.107,5.039,6.122,5,4,1.688,2.612,3.026,2,5,0,0,3.942,0,5,1.028,1.028,6.507,1,31,0.832,0.832,1.724,1,2,0.87,0.87,5.646,1,Canada,1.178,1.178,4.158,1,India,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_t01Jxui11c48jE5,,Anonymous,,,78.155.37.212,0,2015-08-07 10:40:53,2015-08-07 16:40:53,0,,6.421,6.421,12.229,1,5,0,0,19.848,0,4,0,0,4.491,0,4,0,0,4.889,0,4,1.619,1.619,4.074,1,44,1.58,1.58,2.708,1,2,1.478,1.478,7.827,1,Montenegro,1.932,1.932,8.65,1,Montenegro,1,69.801,69.801,72.537,1,10,51.635,51.635,54.018,1,4,41.635,41.635,43.809,1,3,46.647,46.647,48.942,1,6,77.78,77.78,85.493,1,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_2Y3QDRjCezzPlns,,Anonymous,,,108.193.37.83,0,2015-08-12 10:13:01,2015-08-12 16:13:01,0,,2.696,2.696,4.547,1,5,4.952,21.069,23.405,6,3,0,0,12.231,0,4,0,0,4.749,0,4,1.835,1.835,4.566,1,66,1.031,1.031,2.248,1,2,1.401,1.401,7.372,1,United States,1.147,1.147,6.223,1,United States,1,68.375,68.375,81.673,1,6,82.399,82.399,85.666,1,40,55.066,55.066,59.879,1,22,46.749,65.68,68.73,2,10,46.421,46.421,69.854,1,c,46.922,46.922,48.803,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_24pHyo3lMiyWVbV,,Anonymous,,,72.23.176.243,0,2015-08-07 11:01:09,2015-08-07 17:01:09,0,,14970.535,14970.535,14971.455,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_vwdETop7GMMajKx,,Anonymous,,,45.47.93.121,0,2015-08-07 14:39:06,2015-08-07 20:39:06,0,,2.882,2.882,5.143,1,5,2.405,2.405,6.033,1,1,1.877,1.877,4.768,1,4,0,0,3.877,0,5,1.554,1.554,3.568,1,34,1.223,1.223,2.289,1,2,1.602,1.602,7.365,1,United States,1.587,1.587,6.649,1,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_1IoyMr4XwXBcexy,,Anonymous,,,98.157.200.48,0,2015-08-07 11:00:43,2015-08-07 17:00:43,0,,2.019,3.071,4.42,2,5,0,0,3.921,0,4,3.18,3.18,3.816,1,4,0,0,3.834,0,4,1.578,1.578,4.08,1,52,0.981,0.981,2.03,1,1,1.359,1.359,3.848,1,USA,1.211,3.567,4.445,2,USA,1,28.455,28.455,31.058,1,10,3.079,15.469,39.476,2,15,18.744,18.744,21.411,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_3PAb4ihRMAbHL2i,,Anonymous,,,65.96.167.156,0,2015-08-12 07:06:04,2015-08-12 13:06:04,0,,1.603,1.603,2.994,1,5,0,0,2.629,0,3,0,0,2.48,0,5,0,0,2.67,0,5,1.062,1.062,2.218,1,33,0.85,0.85,1.51,1,2,0.752,0.752,2.978,1,USA,1.162,2.5,4.432,3,USA,1,4.975,19.765,24.391,3,10,2.802,2.802,4.751,1,15,2.743,2.743,5.316,1,16,2.116,2.501,7.724,2,15,13.3,13.3,14.838,1,c,15.071,15.071,16.739,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_21vyf4BKhZZQed0,,Anonymous,,,174.62.208.163,0,2015-08-07 10:51:55,2015-08-07 16:51:55,0,,3.817,3.817,4.928,1,4,0,0,8.03,0,4,0,0,6.785,0,5,0,0,3.443,0,5,1.616,1.616,5.829,1,37,1.426,1.426,2.649,1,1,1.157,1.157,7.143,1,United States,0.988,0.988,5.977,1,United States,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_A0QDn4ECTrIN5zr,,Anonymous,,,172.73.125.144,0,2015-08-07 11:10:07,2015-08-07 17:10:07,0,,1.834,2.733,3.914,2,7,0,0,4.636,0,2,0,0,2.975,0,5,0,0,2.956,0,5,1.25,1.25,3.924,1,37,1.288,1.288,2.214,1,1,1.257,1.257,3.771,1,USA,1.205,1.205,4.573,1,USA,1,1.881,3.613,10.385,2,10,1.73,1.73,11.825,1,57,4.213,4.213,7.916,1,8,1.911,1.911,8.395,1,150,8.393,10.588,12.57,3,d,1.275,10.433,11.546,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_1Eb1B5xT3qygJXB,,Anonymous,,,69.131.226.189,0,2015-08-07 11:08:52,2015-08-07 17:08:52,0,,2.655,4.594,6.245,2,3,0,0,9.389,0,3,10.381,10.381,14.041,1,4,0,0,4.954,0,5,1.486,1.486,3.645,1,60,0.97,0.97,2.131,1,2,1.205,1.205,4.47,1,USA,2.721,2.721,5.782,1,USA,1,9.06,9.06,18.025,1,1,5.655,5.655,30.114,1,2,4.262,4.262,28.274,1,2,6.189,6.189,37.571,1,3,4.086,41.882,44.893,7,a,12.876,34.992,36.684,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_3fddohXzD8jNY97,,Anonymous,,,72.23.176.243,0,2015-08-07 11:01:30,2015-08-07 17:01:30,0,,4.251,4.251,6.177,1,3,1.796,3.17,5.482,3,3,0,0,3.366,0,5,0,0,2.371,0,5,0.898,0.898,3.697,1,45,1.098,1.098,2.016,1,2,0.918,0.918,4.04,1,USA,1.291,1.291,3.457,1,USA,1,4.097,53.875,54.6,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_zSg6YZyeVBAkoHT,,Anonymous,,,98.235.142.17,0,2015-08-07 10:42:21,2015-08-07 16:42:21,0,,2.544,2.544,4.021,1,3,0,0,3.864,0,4,0,0,3.339,0,,0,0,7.003,0,4,1.296,1.296,2.926,1,43,0.963,0.963,1.723,1,1,0.873,0.873,4.045,1,USA,3.534,3.534,6.297,1,USA,1,12.119,13.311,14.561,2,2,1.58,1.58,85.593,1,12,5.785,70.029,72.609,3,6,4.23,4.23,58.736,1,5,47.364,52.387,53.782,3,d,35.516,35.516,36.907,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_wSMm1RwvhZptTHP,,Anonymous,,,104.160.50.19,0,2015-08-07 10:37:16,2015-08-07 16:37:16,0,,1.452,1.452,2.735,1,3,0,0,3.608,0,4,0,0,2.616,0,5,18.448,18.448,19.577,1,5,1.583,1.583,2.628,1,23,0.627,0.627,1.435,1,1,0.971,2.877,3.254,2,USA,0.756,0.756,2.675,1,USA,1,2.968,3.626,11.979,2,2,4.474,4.474,10.33,1,1,0.724,7.781,8.674,4,2,0.985,2.774,15.572,2,1,6.577,6.577,24.463,1,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_2XdPoRnxPbz405N,,Anonymous,,,172.73.117.234,0,2015-08-12 08:02:03,2015-08-12 14:02:03,0,,3.241,3.241,4.737,1,4,0,0,3.549,0,2,0,0,2.458,0,4,0,0,2.362,0,3,0.974,0.974,2.725,1,36,0.64,0.64,1.392,1,1,1.215,1.215,3.278,1,Nigeria,0.638,0.638,3.503,1,United States,1,30.916,42.836,46.82,3,10,1.967,2.927,35.1,2,10,9.451,22.517,24.685,2,6,16.714,16.714,18.218,1,4,24.961,26.811,27.336,2,e,16.889,17.985,19.873,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_XtsAy4q3UoOrV2p,,Anonymous,,,172.56.35.113,0,2015-08-07 22:01:57,2015-08-08 04:01:57,0,,93.296,93.296,95.261,1,3,24.793,25.424,33.26,2,3,0,0,3.639,0,5,0,0,3.737,0,5,1.148,1.483,4.065,2,34,2.831,4.328,5.024,2,2,4.838,4.838,7.992,1,us,1.231,1.231,3.846,1,us,1,2.157,14.037,24.868,2,2,1.386,21.265,22.742,6,1,20.966,20.966,24.929,1,2,10.939,10.939,13.315,1,1,49.025,49.496,52.112,2,c,34.414,34.414,35.815,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_2zGDjIfNRy1FPbK,,Anonymous,,,54.148.44.119,0,2015-08-07 12:00:57,2015-08-07 18:00:57,0,,1.795,3.193,4.555,2,3,3.615,3.615,7.658,1,1,2.378,2.378,6.702,1,5,0,0,5.671,0,5,1.738,1.738,3.741,1,41,1.332,1.332,2.54,1,2,1.602,1.602,4.114,1,USA,1.499,1.499,3.534,1,USA,1,7.333,26.329,51.499,5,2,13.092,13.092,17.508,1,3,8.57,8.57,22.962,1,2,24.513,24.513,41.658,1,3,2.776,29.534,31.523,4,C,10.18,13.077,14.525,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_29i7Wsg6zjJPuhg,,Anonymous,,,162.224.168.174,0,2015-08-12 21:34:31,2015-08-13 03:34:31,0,,2.181,2.181,3.124,1,5,3.551,4.326,5.792,2,2,0,0,3.198,0,5,0,0,2.436,0,5,1.2,1.2,3.873,1,30,1.015,1.015,2.389,1,1,1.081,1.081,3.926,1,usa,1.225,1.225,4.166,1,usa,1,8.475,8.475,11.187,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_1jj0weco0bSn4rz,,Anonymous,,,75.109.48.198,0,2015-08-12 22:38:13,2015-08-13 04:38:13,0,,3.743,3.743,4.842,1,3,2.41,3.152,6.556,3,3,0,0,3.924,0,4,0,0,2.431,0,5,0.832,3.999,4.355,3,29,0.704,1.272,1.542,2,1,0.835,0.835,4.006,1,usa,1.037,1.301,3.93,2,usa,1,5.661,40.966,89.409,6,9,39.073,39.455,44.782,2,15,2.192,16.793,25.361,7,8,16.371,34.618,38.814,4,15,3.579,63.758,65.879,4,c,21.772,21.772,22.663,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_2azrPcXO1TiYoS9,,Anonymous,,,73.168.133.154,0,2015-08-07 10:46:20,2015-08-07 16:46:20,0,,3.598,3.598,4.746,1,3,0,0,6.995,0,2,0,0,7.199,0,4,0,0,4.27,0,4,1.428,1.428,6.003,1,37,1.227,1.227,2.064,1,2,1.364,1.364,8.726,1,USA ,1.512,1.512,8.136,1,United States ,1,45.539,45.539,62.183,1,20,56.07,56.07,59.884,1,15,40.548,40.548,43.4,1,6,41.747,41.747,47.656,1,15,46.131,46.131,52.994,1,D,27.457,27.457,28.313,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
FS_rolQDIoCq96O3Jv,,Anonymous,,,74.111.26.20,0,2015-08-07 10:44:20,2015-08-07 16:44:20,0,,1.628,1.628,2.194,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
